CVE-2016-4977,mvn clean install -DskipTests
CVE-2018-1002201,mvn clean install -DskipTests
CVE-2018-1067,mvn clean install -DskipTests
CVE-2018-11762,mvn clean install -DskipTests
CVE-2017-12611,mvn -f core/ clean install -DskipTests
CVE-2013-2115,mvn -f xwork-core/ clean install -DskipTests
CVE-2016-3088,mvn clean install -DskipTests
CVE-2017-1000487,mvn clean install -DskipTests
CVE-2012-6153,mvn clean install -DskipTests
CVE-2016-1000031,mvn clean install -DskipTests
CVE-2016-6817,ant
CVE-2016-4465,mvn -f core/ clean install -DskipTests
CVE-2014-3577,mvn clean install -DskipTests
CVE-2018-12023,mvn clean install -DskipTests
CVE-2016-4970,mvn clean install -DskipTests
CVE-2017-7957,mvn -f xstream/ clean install -DskipTests
CVE-2015-0886,ant
CVE-2016-3082,mvn -f core/ clean install -DskipTests
CVE-2018-1000548,mvn clean install -DskipTests
CVE-2015-2913,mvn clean install -DskipTests
CVE-2018-1325,mvn clean install -DskipTests
CVE-2018-8018,mvn -f modules/clients/ clean install -DskipTests
CVE-2018-17186,mvn -f client/console/ clean install -DskipTests && mvn -f ext/flowable/flowable-bpmn/ clean install -DskipTests
CVE-2013-2186,mvn clean install -DskipTests
CVE-2015-6748,mvn clean install -DskipTests
CVE-2018-14658,mvn clean install -DskipTests
CVE-2018-1000844,mvn clean install -DskipTests
CVE-2018-11788,mvn -f specs/ clean install -DskipTests && mvn -f util/ clean install -DskipTests
CVE-2018-10237,mvn clean install -DskipTests
CVE-2018-1002200,mvn clean install -DskipTests
CVE-2017-12159,mvn clean install -DskipTests
CVE-2018-17297,mvn -f hutool-core/ clean install -DskipTests && mvn -f hutool-poi/ clean install -DskipTests
CVE-2017-2670,mvn clean install -DskipTests
CVE-2016-8744,mvn -f utils/common/ clean install -DskipTests
CVE-2017-14949,cd build && ant
CVE-2018-1114,mvn clean install -DskipTests
CVE-2017-15717,mvn clean install -DskipTests
CVE-2017-9096,mvn clean install -DskipTests
CVE-2015-8581,mvn clean install -DskipTests
CVE-2015-5531,mvn clean install -DskipTests
CVE-2018-8037,ant
CVE-2017-5638,mvn -f core/ clean install -DskipTests
CVE-2018-1284,mvn clean install -DskipTests
CVE-2017-17485,mvn clean install -DskipTests
CVE-2015-3208,mvn clean install -DskipTests
CVE-2018-1000632,gradle build
CVE-2018-8014,ant
CVE-2018-1000112,mvn clean install -DskipTests
CVE-2018-14637,mvn clean install -DskipTests
CVE-2014-3612,mvn clean install -DskipTests
CVE-2016-10006,mvn clean install -DskipTests
CVE-2013-2035,mvn -f hawtjni-runtime/ clean install -DskipTests
CVE-2016-2402,mvn clean install -DskipTests
CVE-2014-4172,mvn clean install -DskipTests
CVE-2018-1298,mvn clean install -DskipTests
CVE-2018-11775,mvn -f activemq-amqp/ clean install -DskipTests && mvn -f activemq-broker/ clean install -DskipTests && mvn -f activemq-client/ clean install -DskipTests && mvn -f activemq-mqtt/ clean install -DskipTests && mvn -f activemq-stomp/ clean install -DskipTests && mvn -f activemq-unit-tests/ clean install -DskipTests
CVE-2018-1000056,mvn clean install -DskipTests
CVE-2016-6809,mvn clean install -DskipTests
CVE-2018-12418,mvn clean install -DskipTests
CVE-2015-5175,mvn clean install -DskipTests
CVE-2018-12036,mvn clean install -DskipTests
CVE-2013-1879,mvn -f activemq-client/ clean install -DskipTests
CVE-2018-1000114,mvn clean install -DskipTests
CVE-2016-6798,mvn -f bundles/extensions/xss clean install -DskipTests
CVE-2018-20059,mvn clean install -DskipTests
CVE-2018-1000107,mvn clean install -DskipTests
