CVE-ID,CWE-ID,CodeQL,Snyk,Semgrep,FindSecBugs,Semgrep*
CVE-2013-2186,CWE-77,,,,,
CVE-2015-6748,CWE-79,,,,,
CVE-2018-14658,CWE-601,,,,,
CVE-2018-1000844,CWE-611,,,,Detected,Detected*
CVE-2018-11788,CWE-611,,Detected,Detected,Detected,Detected
CVE-2018-10237,CWE-770,,,,,
CVE-2018-1002200,CWE-22,,Detected,,,Detected*
CVE-2017-12159,CWE-352,,,Detected,,Detected
CVE-2018-17297,CWE-22,,,,,Detected*
CVE-2017-2670,CWE-835,,,,,
CVE-2016-8744,CWE-502,,Detected,,,Detected*
CVE-2017-14949,CWE-611,,,Detected,,Detected
CVE-2018-1114,CWE-400,,,,,
CVE-2017-15717,CWE-79,,,,,
CVE-2017-9096,CWE-611,,Detected,Detected,Detected,Detected
CVE-2015-8581,CWE-20,,,,,
CVE-2015-5531,CWE-22,,,,,
CVE-2018-8037,CWE-362,,,,,
CVE-2017-5638,CWE-20,,,,,
CVE-2018-1284,CWE-643,,,,Detected,Detected*
CVE-2017-17485,CWE-502,,,,,
CVE-2015-3208,CWE-611,,,Detected,Detected,Detected
CVE-2018-1000632,CWE-91,,,,,
CVE-2018-8014,CWE-1188,,Detected,,Detected,Detected*
CVE-2018-1000112,CWE-863,,,,,Detected*
CVE-2018-14637,CWE-287,,,,,
CVE-2014-3612,CWE-287,,,,Detected,Detected*
CVE-2016-10006,CWE-79,,,,,
CVE-2013-2035,CWE-94,,,,Detected,Detected*
CVE-2016-2402,CWE-295,,,,,
CVE-2014-4172,CWE-74,,,,,
CVE-2018-1298,CWE-20,,,,,
CVE-2018-11775,CWE-295,,,,,
CVE-2018-1000056,CWE-611,,,,,Detected*
CVE-2016-6809,CWE-502,,,,,Detected*
CVE-2018-12418,CWE-835,,,,,
CVE-2015-5175,CWE-611,Detected,Detected,Detected,Detected,Detected
CVE-2018-12036,CWE-22,Detected,Detected,,Detected,Detected*
CVE-2013-1879,CWE-79,,,,,
CVE-2018-1000114,CWE-863,,,,,
CVE-2016-6798,CWE-611,,,Detected,Detected,Detected
CVE-2018-20059,CWE-611,Detected,,,,Detected*
CVE-2018-1000107,CWE-863,,,,,
